cand_name id desc_x Output cand_path cand_status
c275 275 0.75 0.9131409452191307 /home/icsefs01/spec1084/software/MPTS/sims1D/c275 1
c1165 1165 9.65 0.2745073085948403 /home/icsefs01/spec1084/software/MPTS/sims1D/c1165 1
c129 129 -0.71 0.6765780625616664 /home/icsefs01/spec1084/software/MPTS/sims1D/c129 1
c522 522 3.22 0.7753966429467847 /home/icsefs01/spec1084/software/MPTS/sims1D/c522 1
c241 241 0.41 0.9798468868257604 /home/icsefs01/spec1084/software/MPTS/sims1D/c241 1
c699 699 4.99 0.9417614388923499 /home/icsefs01/spec1084/software/MPTS/sims1D/c699 1
c784 784 5.84 1.025929152321465 /home/icsefs01/spec1084/software/MPTS/sims1D/c784 1
c862 862 6.62 0.9845987188940156 /home/icsefs01/spec1084/software/MPTS/sims1D/c862 1
c816 816 6.16 1.0231201460468056 /home/icsefs01/spec1084/software/MPTS/sims1D/c816 1
c959 959 7.59 0.793677912687062 /home/icsefs01/spec1084/software/MPTS/sims1D/c959 1
c797 797 5.97 1.0272020530208534 /home/icsefs01/spec1084/software/MPTS/sims1D/c797 1
c0 0 -2.0 0.20166166980834865 /home/icsefs01/spec1084/software/MPTS/sims1D/c0 1
c795 795 5.95 1.027220839463662 /home/icsefs01/spec1084/software/MPTS/sims1D/c795 1
c794 794 5.94 1.027200907018796 /home/icsefs01/spec1084/software/MPTS/sims1D/c794 1
c796 796 5.96 1.0272212242166083 /home/icsefs01/spec1084/software/MPTS/sims1D/c796 1
c798 798 5.98 1.027163318845575 /home/icsefs01/spec1084/software/MPTS/sims1D/c798 1
c793 793 5.93 1.0271614363647696 /home/icsefs01/spec1084/software/MPTS/sims1D/c793 1
c799 799 5.99 1.0271050158858015 /home/icsefs01/spec1084/software/MPTS/sims1D/c799 1
